id,name,population,lat,lon
17047,Edwards County,6021,38.41650960186214,-88.05331039298405
17027,Clinton County,36886,38.606454357999326,-89.4224975577165
18041,Fayette County,23256,39.64002908963815,-85.17876387841672
18069,Huntington County,36818,40.82921367932492,-85.48813731444373
19175,Union County,11913,41.02773113207527,-94.24235838842802
20059,Franklin County,26223,38.56453049009348,-95.28594692386395
20171,Scott County,4962,38.48217397166848,-100.90686292668303
21123,Larue County,15328,37.54579417530158,-85.69792648960753
21115,Johnson County,22139,37.84662415602038,-82.83150537301391
21109,Jackson County,13138,37.419767103899765,-84.00575280266139
21175,Morgan County,14385,37.92228513680065,-83.25888525568132
21011,Bath County,12972,38.144956710906925,-83.74268041470096
21231,Wayne County,19630,36.80128050856093,-84.82862302033818
21061,Edmonson County,12466,37.208801619449964,-86.23842354209037
21165,Menifee County,6279,37.94139044512195,-83.59886912893027
22001,Acadia Parish,56649,30.290572190038226,-92.41198476836149
22071,Orleans Parish,365167,30.06869667948191,-89.9288596015262
22103,St. Tammany Parish,275801,30.410271801279222,-89.95837146771827
22067,Morehouse Parish,24055,32.82020626275696,-91.80179261441212
22081,Red River Parish,7395,32.09309387270528,-93.33982711433708
22039,Evangeline Parish,31945,30.728931438212374,-92.40595244816355
22043,Grant Parish,21929,31.599735940047378,-92.55946820414918
22083,Richland Parish,19744,32.41777530525028,-91.76349698822389
26135,Oscoda County,8572,44.68176488043434,-84.12978548168154
27015,Brown County,25699,44.24214049275379,-94.72758486193946
28163,Yazoo County,24603,32.78032764754845,-90.3964218873481
28089,Madison County,113068,32.63470992743604,-90.03371392450741
28101,Newton County,21041,32.40023166007356,-89.11877797285155
29033,Carroll County,8367,39.42698981043863,-93.50517444284596
29039,Cedar County,14706,37.72384897148741,-93.85660340893504
29197,Schuyler County,4073,40.470268145401356,-92.52098231607918
30063,Missoula County,121672,47.036547391092775,-113.92370099822814
30097,Sweet Grass County,3749,45.81382287078208,-109.94100909566706
30047,Lake County,33255,47.64590838566945,-114.08937177925034
30069,Petroleum County,543,47.117542128509015,-108.25019723113563
30023,Deer Lodge County,9685,46.06081103395568,-113.06779392100285
31115,Loup County,587,41.913852483670254,-99.45438391651983
31005,Arthur County,416,41.568968318893795,-101.69582326839011
32011,Eureka County,1898,39.98384404759255,-116.26856419535991
35011,De Baca County,1672,34.34246996628183,-104.41201029473534
36113,Warren County,65508,43.5609521242286,-73.84600802781215
36017,Chenango County,45875,42.49350163373704,-75.61159061287506
36051,Livingston County,61248,42.72803935445274,-77.77547683718186
37193,Wilkes County,66017,36.206173493214074,-81.16295685223632
37159,Rowan County,151883,35.639415063011725,-80.52472492184052
37089,Henderson County,119576,35.33630325541587,-82.4799794608072
37163,Sampson County,59742,34.99159640834982,-78.37143431546228
37121,Mitchell County,15003,36.01329289453708,-82.16364135159543
38069,Pierce County,3910,48.249598188316725,-99.97181605125324
39067,Harrison County,14183,40.29382402829514,-81.09112914520355
40145,Wagoner County,89375,35.961095454858174,-95.52120066402999
40133,Seminole County,23585,35.16750484510129,-96.61549029252727
41017,Deschutes County,208857,43.915021389250825,-121.22807980056184
41031,Jefferson County,25480,44.62939567962557,-121.17606996829323
41055,Sherman County,1954,45.405244632108236,-120.68936146574606
42051,Fayette County,124699,39.92011489961423,-79.64740685453812
42129,Westmoreland County,351420,40.31092664985421,-79.46678155667551
42023,Cameron County,4382,41.43671455126443,-78.20398861845594
45055,Kershaw County,70145,34.33879160778724,-80.59020936381376
45027,Clarendon County,31119,33.66579418225572,-80.21641005638901
45017,Calhoun County,14208,33.674881807652355,-80.78029888895743
46079,Lake County,11033,44.022057527070835,-97.12936116015638
47001,Anderson County,80343,36.118454447509855,-84.19845710633301
47189,Wilson County,164352,36.154701996011354,-86.29734849208829
47135,Perry County,8911,35.64263566727596,-87.85895057474896
47045,Dyer County,36432,36.05918730758719,-89.41368166992781
47029,Cocke County,37272,35.92543826599189,-83.12118169088355
47049,Fentress County,19708,36.38047639211704,-84.93244568679631
47085,Humphreys County,19293,36.040819573682036,-87.77562652577427
47185,White County,28697,35.92635617277833,-85.45520500818019
47127,Moore County,6774,35.28461510020997,-86.35873408180359
48339,Montgomery County,715345,30.300196894281296,-95.50300541139663
48029,Bexar County,2098189,29.448939170347206,-98.5200068621466
48245,Jefferson County,253392,29.88407008216466,-94.16292563948822
48457,Tyler County,20435,30.77123168033536,-94.37659666829313
48157,Fort Bend County,927120,29.527512325310013,-95.77094435390504
48139,Ellis County,223324,32.34842813633649,-96.79467938576555
48499,Wood County,47981,32.78640889761094,-95.3820706662205
48041,Brazos County,247263,30.660801821727183,-96.30238984743453
48459,Upshur County,43425,32.736272265229054,-94.94147298190482
48343,Morris County,12133,33.11347148484452,-94.73263914208172
48393,Roberts County,819,35.838424300572285,-100.813570425658
48289,Leon County,16556,31.29650528616948,-95.99569977377165
48349,Navarro County,55719,32.04695466867713,-96.47247573809847
48185,Grimes County,32527,30.543486772208492,-95.985504674189
